Ticker,Date,Sector,Industry,Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio,Market_Cap,PE_Ratio,EPS,Revenue_Growth,Profit_Margin,Dividend_Yield,Payout_Ratio,Debt_to_Equity,ROE
C07.SI,2024-12-30 00:00:00+08:00,Industrials,Conglomerates,27.2941279849842,27.2941279849842,27.083363174048905,27.2653865814209,47800,-0.1053041009689503,0.0060090661696106,0.0311593762772353,0.0948205222742348,0.021086435284271,0.2094563545793879,48.16800131956454,27.130114517211915,25.47966950416565,1.004986048404741,1.0700839968494609,196108.4126984127,0.2437427305758153,-0.0319727848314278,0.2038730863027413,14003221504,13.269663,2.67,0.008,0.03723,4.05,0.53080004,40.337,0.13251
C09.SI,2024-12-30 00:00:00+08:00,Real Estate,Real Estate - Development,5.014617443084717,5.024411842168032,4.985235179880077,5.014617443084717,883900,0.0,-0.0172745770947854,-0.0518518992687394,-0.0210325409123549,-0.2186002216751714,0.1820473533216112,42.65656427244887,5.090228757858276,5.311232407093048,0.9851457923856898,0.9441532696606898,1491574.603174603,0.5925952333317726,-0.2197752171778596,-1.2633222681574146,8692798464,44.227272,0.22,0.08,0.06027,0.85,0.367,137.9,0.02293
C2PU.SI,2024-12-30 00:00:00+08:00,Real Estate,REIT - Healthcare Facilities,3.5703277381924448,3.618187313460616,3.5703277381924448,3.6086153984069824,729600,1.6172482308357772,-0.0052770370516416,-0.0904762130820672,0.1143861074121885,0.0970835391260895,0.1811822597372404,57.80557478522789,3.553922600746154,3.4564500665664672,1.0153894172172868,1.0440235874698087,1102400.0,0.6618287373004355,-0.0904762130820672,0.6016270484492269,2636047360,17.565216,0.23,0.059,0.97758,4.33,0.4284,53.013,0.09431
C38U.SI,2024-12-30 00:00:00+08:00,Real Estate,REIT - Retail,1.814828093215536,1.8241828680038448,1.8054732069095127,1.8241828680038448,10687300,0.5154730594302714,-0.0151514615187825,-0.0801885431491089,0.0262054549514838,0.0188229532250467,0.1752389378086416,51.25370784422077,1.8462600255012511,1.8446198385953905,0.9880422274260028,0.9889207682992788,25139760.253968254,0.4251154303793742,-0.1013824600643595,0.1935296743176757,18538461184,18.923079,0.13,0.047,0.57887,4.63,0.8143,62.3,0.059070002
C41.SI,2024-12-30 00:00:00+08:00,Consumer Cyclical,Luxury Goods,2.777572631835937,2.777572631835937,2.777572631835937,2.777572631835937,0,0.0,0.0283688062210658,-0.0365448548943589,0.1067633881028375,-0.0771399569479258,0.2867437479562817,59.98929068618053,2.7325567293167112,2.8404959344863894,1.0164739132535712,0.9778477758455832,338.0952380952381,0.0,-0.1272380755460764,-0.1371081785706824,594426496,8.974999,0.4,0.135,0.07221,0.56,0.05,38.668,0.16595
C52.SI,2024-12-30 00:00:00+08:00,Industrials,Railroads,1.3829458329591844,1.4018902778625488,1.3829458329591844,1.4018902778625488,3388500,0.6802735066091969,0.013698658476561,-0.0198675077202707,0.124162845821389,0.112271964729353,0.1419996373664316,56.606995481630406,1.3909024691581726,1.3320184826850892,1.0078997693569602,1.0524555748180098,4408128.571428572,0.768693549902939,-0.0263157611484198,0.8199596149586956,3315147776,15.299999,0.1,0.144,0.04626,5.33,0.7618,55.771,0.08705
C6L.SI,2024-12-30 00:00:00+08:00,Industrials,Airlines,6.099528404992744,6.1089701652526855,6.061760463494225,6.1089701652526855,2722900,0.1547964381105826,0.0237341402957547,-0.0333059253652633,0.0149736560338793,0.0647120107134064,0.1717504610190887,68.0228252300082,5.97961181640625,5.911443297863007,1.0216332352029132,1.0334143215855738,4062966.1746031744,0.6701754046145715,-0.0566391083067255,0.4526157174900411,22373185536,10.084507,0.71,0.019,0.11535,4.91,0.56259996,68.227,0.15387
CC3.SI,2024-12-30 00:00:00+08:00,Communication Services,Telecom Services,1.1567563326086792,1.1567563326086792,1.1472747325897217,1.1472747325897217,539400,-0.8196771994159469,-0.0081967719941594,-0.0162601617705938,0.0077335707040526,0.1555026152388388,0.1752285432883382,46.50844641507438,1.150688142776489,1.141030331850052,0.9970335922828482,1.005472598374791,762850.7936507936,0.7070845367002638,-0.0472440921496648,0.911077534447083,1776001152,20.599998,0.05,-0.031,0.03672,5.77,1.3778,278.289,0.13003999
CMOU.SI,2024-12-30 00:00:00+08:00,Real Estate,REIT - Office,0.2049999982118606,0.209999993443489,0.2049999982118606,0.209999993443489,581000,0.0,-0.0666666710818258,-0.222222277411706,0.60305341861651,-0.4473684313719956,0.6785142598523589,41.93212614303351,0.2294199976325034,0.1937649990245699,0.9153517374709312,1.0837870332652824,1473853.9682539685,0.3942045904916168,-0.4400000174840293,-0.4931833011248294,224556800,18.923079,-0.0,0.049,-0.027139999,1.16,0.0,86.16,-0.0057099997
D01.SI,2024-12-30 00:00:00+08:00,Consumer Defensive,Grocery Stores,1.9305150508880613,1.938908586756883,1.9137279791504185,1.9305150508880613,241500,0.0,-0.0909091215289208,0.0599077701601336,0.2595191324507859,0.0519668301445093,0.3319173438980739,42.54944162552848,2.006056933403015,1.7000502061843872,0.9623431014059972,1.13556355210293,990985.7142857144,0.2436967521515374,-0.1187739184225887,0.3160931697444801,5712405504,14.791667,-0.28,-0.004,-0.04262,2.45,0.90910006,447.151,-0.46627
